Country,Region,length_flaccid,length_erect,circumf_flaccid,circumf_erect,volume_erect,volume_flaccid,Method,N,Source,growth_length,growth_circumf,growth_volume
Afghanistan,Central Asia,9.5,13.69,9.1,11.42,142.08,62.6,Measured,100,Journal of Urology (mentioned in 2011),1.4410526315789474,1.254945054945055,2.2696485623003197
Albania,Europe,9.8,14.19,9.7,12.16,166.97,73.38,Self reported,95,Journal of Sexology 2006,1.4479591836734693,1.2536082474226806,2.2754156445898066
Algeria,Africa,9.9,14.49,8.9,10.97,138.76,62.4,Self reported,738,https://www.surveymonkey.com - 2015,1.4636363636363636,1.2325842696629215,2.223717948717949
Angola,Africa,10,15.73,9.6,11.82,174.89,73.34,Measured,978,University Agostinho Neto 2001,1.573,1.2312500000000002,2.3846468502863374
Argentina,South America,9.4,14.88,8.9,11.45,155.24,59.25,Self reported,1669,Journal of Urology 2013,1.5829787234042554,1.2865168539325842,2.620084388185654
Armenia,Europe,10.5,13.12,8.6,10.78,121.33,61.8,Measured,469,Ուրոլոգիայի Առողջության  Պահպանման Ծառայություն Armenia - 2015,1.2495238095238095,1.2534883720930232,1.9632686084142394
Australia,Australia,10,15.7,10.5,13.22,218.35,87.73,Self reported,1638,Smith et al. 1998 Does penis size influence condom slippage and breakage?,1.5699999999999998,1.2590476190476192,2.4888863558645844
Austria,Europe,11.7,14.69,9.7,12.1,171.15,87.6,Self reported,547,https://www.surveymonkey.com - 2015,1.2555555555555555,1.2474226804123711,1.9537671232876714
Bahrein,Western Asia,8.8,12.93,8.6,11.19,128.84,51.79,Self reported,492,https://www.surveymonkey.com - 2015,1.4693181818181817,1.3011627906976744,2.4877389457424215
Bangladesh,Southeast Asia,8.2,11.2,8.1,10.48,97.89,42.81,Measured,200,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.3658536585365855,1.2938271604938272,2.286615276804485
Belarus,Europe,11.2,13.98,9.1,11.38,144.07,73.81,Measured,100,Journal of Urology (mentioned in 2011),1.2482142857142857,1.2505494505494508,1.9519035361062185
Belgium,Europe,12.1,15.14,10.6,13.26,211.84,108.19,Self reported,875,Universitair Ziekenhuis Antwerpen - 2015,1.2512396694214878,1.2509433962264151,1.9580367871337463
Belize,Central America/Caribean,10.9,15.75,10.1,12.87,207.6,88.48,Measured,68,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.4449541284403669,1.2742574257425743,2.34629294755877
Bhutan,Asia,8.1,11.12,8.3,10.31,94.06,44.4,Measured,147,Genital size measure survey 2015,1.3728395061728396,1.2421686746987952,2.1184684684684685
Bolivia,South America,9.2,14.7,8.8,11.31,149.63,56.69,Measured,647,Sociedad Boliviana de Urología - 2015,1.5978260869565217,1.2852272727272727,2.6394425824660432
Bosnia and Herzegovina,Europe,12.2,15.27,9.6,12.08,177.32,89.47,Self reported,618,Genital size survey 2015 (http://genitalsize.com),1.251639344262295,1.2583333333333333,1.9818933720800267
Brazil,South America,9.9,15.7,10.2,12.99,210.82,81.96,Measured,2600,Pedro N. Gabrich; Juliana S. P. Vasconcelos; Ronaldo Damião; Eloísio A. da Silva 2007,1.5858585858585856,1.273529411764706,2.5722303562713518
Bulgaria,Europe,11.7,14.66,9.3,11.69,159.42,80.53,Measured,930,Tomova A et all. 2010 Growth and development of male external genitalia (17 to 19),1.252991452991453,1.2569892473118278,1.9796349186638518
Burkina Faso,Africa,10.3,15.19,9.8,12.18,179.33,78.72,Self reported,273,Genital size survey 2015 (http://genitalsize.com),1.4747572815533978,1.2428571428571427,2.27807418699187
Cambodia,Southeast Asia,7.2,9.84,8.6,11.12,96.83,42.38,Measured,112,https://www.surveymonkey.com - 2015,1.3666666666666667,1.2930232558139534,2.2848041529023124
Cameroon,Africa,10.6,16.65,9.9,12.29,200.13,82.67,Self reported,421,African Journal of Urology 2003,1.570754716981132,1.2414141414141413,2.420829805249788
